ISO2;country_name;Speech_title;URL_text;URL_link;Date_m;speech_stance
GB;United Kingdom;Ben Broadbent: Central banks and digital currencies;https://www.bis.org/review/r160303e.pdf;https://www.bis.org/review/r160303e.pdf;01/03/2016;0
EA;Euro Area;Yves Mersch: Distributed ledger technology - panacea or flash in the pan?;https://www.bis.org/review/r160426b.htm;https://www.bis.org/review/r160426b.htm;01/04/2016;0
FI;Finland;Erkki Liikanen: Cash and the central bank;https://www.bis.org/review/r160616e.htm;https://www.bis.org/review/r160616e.htm;01/06/2016;-1
GB;United Kingdom;Mark Carney: Enabling the FinTech transformation - revolution, restoration, or reformation?;https://www.bis.org/review/r160621e.htm;https://www.bis.org/review/r160621e.htm;01/06/2016;-1
CA;Canada;Carolyn Wilkins: Fintech and the financial ecosystem - evolution or revolution?;https://www.bis.org/review/r160622a.htm;https://www.bis.org/review/r160622a.htm;01/06/2016;-1
GB;United Kingdom;Andrew Hauser: Building the market infrastructure of tomorrow - CREST, RTGS and the Bank of England, 20 years on;https://www.bis.org/review/r160921d.pdf;https://www.bis.org/review/r160921d.pdf;01/09/2016;0
SG;Singapore;Ravi Menon: Singapore's FinTech journey - where we are, what is next;https://www.bis.org/review/r161118a.htm;https://www.bis.org/review/r161118a.htm;01/11/2016;1
SE;Sweden;Cecilia Skingsley: Should the Riksbank issue e-krona?;https://www.bis.org/review/r161128a.htm;https://www.bis.org/review/r161128a.htm;01/11/2016;1
JP;Japan;Hiroshi Nakaso: FinTech - its impacts on finance, economies and central banking;https://www.bis.org/review/r161214a.htm;https://www.bis.org/review/r161214a.htm;01/12/2016;-1
EA;Euro Area;Yves Mersch: Digital Base Money - an assessment from the European Central Bank's perspective;https://www.bis.org/review/r170117b.htm;https://www.bis.org/review/r170117b.htm;01/01/2017;0
US;United States;Jerome Powell: Innovation, technology, and the payments system;https://www.bis.org/review/r170309b.htm;https://www.bis.org/review/r170309b.htm;01/03/2017;-1
JP;Japan;Hiroshi Nakaso: Future of central bank payment and settlement systems under economic globalization and technological innovation;https://www.bis.org/review/r170425h.htm;https://www.bis.org/review/r170425h.htm;01/04/2017;0
MY;Malaysia;"Encik Abdul Rasheed Ghaffour: Optimal balance of paper and digital, cash and cashless; and next page for physical currency";https://www.bis.org/review/r170609c.htm;https://www.bis.org/review/r170609c.htm;01/06/2017;0
DE;Germany;"Jens Weidmann: Welcome remarks - ""Frontiers in Central Banking - Past,"" Present and Future""""";https://www.bis.org/review/r170621b.htm;https://www.bis.org/review/r170621b.htm;01/06/2017;0
CZ;Czech Republic;Mojmír Hampl: Central banks, digital currencies and monetary policy in times of elastic money;https://www.bis.org/review/r170720b.htm;https://www.bis.org/review/r170720b.htm;01/07/2017;0
CL;Chile;Mario Marcel: FinTech and the future of central banking - a Latin American perspective;https://www.bis.org/review/r170731e.htm;https://www.bis.org/review/r170731e.htm;01/07/2017;-1
EA;Euro Area;Yves Mersch: The role of cash - customer retention and tie to the citizen;https://www.bis.org/review/r170904d.htm;https://www.bis.org/review/r170904d.htm;01/09/2017;-1
DE;Germany;Carl-Ludwig Thiele: From Bitcoin to digital central bank money - still a long way to go;https://www.bis.org/review/r170921d.htm;https://www.bis.org/review/r170921d.htm;01/09/2017;-1
GB;United Kingdom;Andrew Hauser: The Bank of England's FinTech accelerator - what have we done and what have we learned?;https://www.bis.org/review/r171009f.htm;https://www.bis.org/review/r171009f.htm;01/10/2017;0
SG;Singapore;Ravi Menon: Economic possibilities of blockchain technology;https://www.bis.org/review/r171010b.htm;https://www.bis.org/review/r171010b.htm;01/10/2017;1
DK;Denmark;Per Callesen: Can banking be sustainable in the future? A perspective from Danmarks Nationalbank;https://www.bis.org/review/r171031c.htm;https://www.bis.org/review/r171031c.htm;01/10/2017;-1
BB;Barbados;Michelle Doyle-Lowe: Financial evolution - exploring the shift;https://www.bis.org/review/r171102h.htm;https://www.bis.org/review/r171102h.htm;01/11/2017;0
DK;Denmark;Lars Rohde: The future of money and banking;https://www.bis.org/review/r171109e.htm;https://www.bis.org/review/r171109e.htm;01/11/2017;-1
EA;Euro Area;Vítor Constâncio: The future of finance and the outlook for regulation;https://www.bis.org/review/r171110e.htm;https://www.bis.org/review/r171110e.htm;01/11/2017;-1
EA;Euro Area;Benoît Cœuré: Interview in Handelsblatt;https://www.bis.org/review/r171123c.htm;https://www.bis.org/review/r171123c.htm;01/11/2017;0
CA;Canada;Stephen S Poloz: Three things keeping me awake at night;https://www.bis.org/review/r180102b.htm;https://www.bis.org/review/r180102b.htm;01/01/2018;0
US;United States;Randal K Quarles: Thoughts on prudent innovation in the payment system;https://www.bis.org/review/r180102c.htm;https://www.bis.org/review/r180102c.htm;01/01/2018;-1
AU;Australia;Philip Lowe: An eAUD?;https://www.bis.org/review/r180109c.htm;https://www.bis.org/review/r180109c.htm;01/01/2018;0
DK;Denmark;Lars Rohde: Financial sector developments, digital currency and risky ties in Denmark;https://www.bis.org/review/r180110e.htm;https://www.bis.org/review/r180110e.htm;01/01/2018;-1
EA;Euro Area;Benoît Cœuré: Interview in Caixin Global;https://www.bis.org/review/r180112f.htm;https://www.bis.org/review/r180112f.htm;01/01/2018;0
EA;Euro Area;Benoît Cœuré: Interview in Caixin Global;https://www.bis.org/review/r180112f.htm;https://www.bis.org/review/r180112f.htm;01/01/2018;1
PK;Pakistan;Jameel Ahmad: Changing dynamics - bank of the future;https://www.bis.org/review/r180119b.htm;https://www.bis.org/review/r180119b.htm;01/01/2018;0
SE;Sweden;Stefan Ingves: Do we need an e-krona?;https://www.bis.org/review/r180123c.htm;https://www.bis.org/review/r180123c.htm;01/01/2018;1
SE;Sweden;Kerstin af Jochnick: How the Riksbank contributes to financial stability;https://www.bis.org/review/r180131b.htm;https://www.bis.org/review/r180131b.htm;01/01/2018;0
EA;Euro Area;Yves Mersch: Interview with Bloomberg;https://www.bis.org/review/r180208a.htm;https://www.bis.org/review/r180208a.htm;01/02/2018;0
EA;Euro Area;Yves Mersch: Virtual or virtueless? The evolution of money in the digital age;https://www.bis.org/review/r180208e.htm;https://www.bis.org/review/r180208e.htm;01/02/2018;-1
DE;Germany;"Jens Weidmann: Opening remarks - ""Fourth cash symposium of the Deutsche Bundesbank""";https://www.bis.org/review/r180226a.htm;https://www.bis.org/review/r180226a.htm;01/02/2018;-1
CZ;Czech Republic;Mojmír Hampl: A digital currency useful for central banks?;https://www.bis.org/review/r180308a.htm;https://www.bis.org/review/r180308a.htm;01/03/2018;-1
EA;Euro Area;Benoît Cœuré and Jacqueline Loh: Bitcoin not the answer to a cashless society;https://www.bis.org/review/r180313a.htm;https://www.bis.org/review/r180313a.htm;01/03/2018;0
GB;United Kingdom;Mark Carney: The future of money;https://www.bis.org/review/r180323a.htm;https://www.bis.org/review/r180323a.htm;01/03/2018;-1
MY;Malaysia;Jessica Chew Cheng Lian: Digital developments in Malaysia's financial sector and the broader economy;https://www.bis.org/review/r180406a.htm;https://www.bis.org/review/r180406a.htm;01/04/2018;0
JP;Japan;Masayoshi Amamiya: Central banking in the digital age;https://www.bis.org/review/r180424e.htm;https://www.bis.org/review/r180424e.htm;01/04/2018;-1
US;United States;Lael Brainard: Cryptocurrencies, digital currencies, and distributed ledger technologies - what are we learning?;https://www.bis.org/review/r180516d.htm;https://www.bis.org/review/r180516d.htm;01/05/2018;-1
EA;Euro Area;Yves Mersch: Virtual currencies ante portas;https://www.bis.org/review/r180517f.htm;https://www.bis.org/review/r180517f.htm;01/05/2018;-1
EA;Euro Area;Benoît Cœuré: The future of central bank money;https://www.bis.org/review/r180518a.htm;https://www.bis.org/review/r180518a.htm;01/05/2018;0
